SEASON,TEAM_NAME,GAME_DATE,MATCHUP,WIN,TEAM_PTS_AVG,TEAM_AST_AVG,TEAM_REB_AVG
2202,Atlanta Hawks,2021-02-15,ATL @ NYK,0,,,
2202,Atlanta Hawks,2021-02-13,ATL vs. IND,0,,,
2202,Atlanta Hawks,2021-02-12,ATL vs. SAS,0,,,
2202,Atlanta Hawks,2021-02-10,ATL @ DAL,0,,,
2202,Atlanta Hawks,2021-02-06,ATL vs. TOR,1,,,
2202,Atlanta Hawks,2021-02-04,ATL vs. UTA,0,,,
2202,Atlanta Hawks,2021-02-03,ATL vs. DAL,0,,,
2202,Atlanta Hawks,2021-02-01,ATL vs. LAL,0,,,
2202,Atlanta Hawks,2021-01-29,ATL @ WAS,1,,,
2202,Atlanta Hawks,2021-01-27,ATL vs. BKN,0,,,
2202,Atlanta Hawks,2021-01-26,ATL vs. LAC,1,,,
2202,Atlanta Hawks,2021-01-24,ATL @ MIL,0,,,
2202,Atlanta Hawks,2021-01-22,ATL @ MIN,1,,,
2202,Atlanta Hawks,2021-01-20,ATL vs. DET,1,,,
2202,Atlanta Hawks,2021-01-18,ATL vs. MIN,1,,,
2202,Atlanta Hawks,2021-01-16,ATL @ POR,0,,,
2202,Atlanta Hawks,2021-01-15,ATL @ UTA,0,,,
2202,Atlanta Hawks,2021-01-11,ATL vs. PHI,1,,,
2202,Atlanta Hawks,2021-01-09,ATL @ CHA,0,,,
2202,Atlanta Hawks,2021-01-06,ATL vs. CHA,0,,,
2202,Atlanta Hawks,2021-01-04,ATL vs. NYK,0,,,
2202,Atlanta Hawks,2021-01-02,ATL vs. CLE,0,,,
2202,Atlanta Hawks,2021-01-01,ATL @ BKN,1,,,
2202,Atlanta Hawks,2020-12-30,ATL @ BKN,0,,,
2202,Atlanta Hawks,2020-12-28,ATL vs. DET,1,,,
2202,Atlanta Hawks,2020-12-26,ATL @ MEM,1,,,
2202,Atlanta Hawks,2020-12-23,ATL @ CHI,1,,,
2201,Atlanta Hawks,2020-03-11,ATL vs. NYK,0,,,
